facing,price_per_sqft,BHK,Location,area_type,area_sqft,transaction_type,ready_to_move,furnishing_level,price_rs
173,2891.0,2.0,Dindoli Surat,1,644.0,1,0,0,3379999.9999999995
156,3551.0,2.0,Althan Surat,2,1278.0,1,0,0,4540000.0
54,3800.0,2.0,Pal Gam Surat,2,1173.0,2,1,1,4460000.0
54,3966.0,2.0,Jahangirabad Surat,1,700.0,1,1,0,4700000.0
54,3200.0,2.0,Palanpur Surat,1,720.0,1,0,0,4000000.0
54,3235.0,2.0,Jahangirabad Surat,1,748.0,1,0,0,4400000.0
54,2315.0,1.0,Kim Surat,1,480.0,2,1,0,1250000.0
54,3125.0,2.0,NavYug College Surat,1,1650.0,2,1,0,5000000.0
54,5903.0,2.0,Adajan Surat,2,847.0,2,1,0,5000000.0
98,2368.0,3.0,Dindoli Surat,2,1511.0,1,0,0,3579999.9999999995
54,3185.0,3.0,Mota Varachha Surat,1,1000.0,1,1,0,4300000.0
54,2736.0,1.0,Ramnagar Surat,1,731.0,2,1,0,2000000.0
173,2829.0,2.0,Amroli Surat,1,950.0,2,1,0,2900000.0
0,3304.0,2.0,Palan Pur Patiya Surat,2,1150.0,0,0,0,3800000.0
173,3009.0,1.0,Palsana Surat,1,432.0,1,1,0,1300000.0
54,2857.0,3.0,Jahangirabad Surat,1,910.0,2,1,0,4000000.0
83,4150.0,2.0,Palanpur Surat,1,650.0,0,1,0,4650000.0
156,3325.0,2.0,Palanpur Surat,2,1250.0,1,1,0,4160000.0
56,2264.0,3.0,Masma Village Surat,1,1480.0,0,0,0,3350000.0
156,3842.0,2.0,Shivalik Height Surat,2,1105.0,2,1,0,4250000.0
54,3678.0,2.0,Althan Surat,2,1305.0,1,0,0,4800000.0
54,3488.0,2.0,Palanpur Surat,2,1290.0,2,1,0,4500000.0
155,3282.0,2.0,Bamroli Surat,2,975.0,1,0,0,3200000.0
54,2800.0,2.0,Jahangirabad Surat,2,1250.0,1,1,0,3500000.0
156,3500.0,2.0,Godadara Surat,1,725.0,1,0,0,4620000.0
98,3017.0,3.0,Palanpur Surat,2,1558.0,2,1,0,4700000.0
54,3075.0,2.0,Jahangirabad Surat,1,727.0,1,1,0,3850000.0
83,3810.0,1.0,Jahangirabad Surat,2,735.0,2,1,0,2800000.0
54,3771.0,2.0,Palanpur Surat,2,1326.0,2,1,0,5000000.0
54,3099.0,2.0,Jahangirabad Surat,2,1178.0,2,1,0,3650000.0
156,2632.0,3.0,Jahangir Pura Surat,2,1900.0,2,1,0,5000000.0
19,2724.0,3.0,Palanpur Surat,2,1600.0,2,1,0,4360000.0
54,3747.0,2.0,Bamroli Surat,1,680.0,1,0,0,4650000.0
54,2936.0,2.0,Jahangirabad Surat,1,721.0,2,1,1,3200000.0
54,3451.0,2.0,Swagat Home Surat,1,545.0,2,0,0,3350000.0
54,3507.0,1.0,Palanpur Surat,2,813.0,1,0,0,2850000.0
54,2828.0,1.0,Palanpur Surat,2,990.0,1,0,0,2800000.0
54,3636.0,1.0,Jahangir Pura Surat,1,500.0,2,1,0,2800000.0
54,1951.0,2.0,Nansad Surat,1,42.0,2,1,0,900000.0
54,3093.0,2.0,Adajan Surat,2,970.0,2,1,1,3000000.0
12,2712.0,2.0,Jahangir Pura Surat,2,1180.0,2,1,0,3200000.0
54,3304.0,2.0,Palanpur Surat,1,750.0,2,1,0,3800000.0
54,3951.0,2.0,Adajan Surat,2,1000.0,2,1,0,3950000.0
54,3567.0,1.0,Bhesan Road Surat,2,813.0,1,0,0,2900000.0
54,3636.0,1.0,Katar Gam Surat,2,550.0,2,1,0,2000000.0
0,3750.0,1.0,Bhatar Surat,2,800.0,2,1,0,3000000.0
0,3909.0,1.0,Adajan Surat,1,450.0,2,1,0,2150000.0
12,3600.0,2.0,Adajan Surat,2,1250.0,2,1,0,4500000.0
12,1312.0,2.0,Varachha Surat,2,800.0,2,1,0,1050000.0
99,3946.0,2.0,Nana Varachha Surat,2,1267.0,2,1,0,5000000.0
12,3333.0,2.0,Adajan Surat,2,1200.0,0,0,0,4000000.0
83,3000.0,1.0,Kadodara Surat,1,600.0,0,1,0,1800000.0
12,4111.0,2.0,Citylight Area Surat,1,750.0,2,1,0,3700000.0
54,2315.0,1.0,Sayan Surat,1,432.0,1,1,0,1000000.0
19,1875.0,3.0,Jahangirabad Surat,2,1600.0,2,1,0,3000000.0
154,3509.0,1.0,Palanpur Surat,1,441.0,2,1,0,2350000.0
83,2941.0,2.0,Aarav Apartment Surat,2,850.0,2,1,1,2500000.0
54,2686.0,1.0,Ram Pura Surat,1,605.0,2,1,0,1630000.0
12,3462.0,2.0,Varachha Surat,2,1300.0,2,1,0,4500000.0
12,3212.0,4.0,Bhatar Surat,2,1370.0,2,1,0,4400000.0
59,3035.0,1.0,Olpad Surat,1,527.0,0,1,0,2000000.0
54,3269.0,2.0,Nana Varachha Surat,2,1193.0,2,1,1,3900000.0
50,3077.0,2.0,Lambe Hanuman Road Surat,1,1000.0,2,1,0,4000000.0
12,1600.0,2.0,Olpad Sayan Road Surat,2,1000.0,2,1,0,1600000.0
19,2455.0,3.0,Kamrej Surat,2,1100.0,2,1,0,2700000.0
0,1984.0,1.0,Olpad Surat,2,756.0,2,1,0,1500000.0
98,4006.0,2.0,L P Savani Surat,1,1446.0,2,1,1,3990000.0
98,3043.0,2.0,Honey Park Surat,1,950.0,2,1,1,3500000.0
54,3333.0,2.0,503RIDDHI SIDDHI RESIDENCY Surat,1,750.0,2,1,1,3500000.0
12,4683.0,2.0,vatika township Surat,2,1025.0,2,1,0,4800000.0
54,3455.0,2.0,Rander Road Surat,2,1100.0,2,1,0,3800000.0
54,2749.0,2.0,devdhgam Surat,1,734.0,2,1,0,2850000.0
0,3420.0,1.0,pavitra residency Surat,1,440.0,2,1,1,2500000.0
98,2318.0,1.0,Udhna Surat,2,550.0,2,1,1,1280000.0
54,2500.0,2.0,vraj vihar complex koli street adajan gam Surat,1,800.0,2,1,1,2500000.0
0,2909.0,1.0,Adajan Surat,2,722.0,2,1,0,2100000.0
60,4375.0,2.0,Velanja Surat,1,720.0,1,1,0,3150000.0
12,3545.0,2.0,Jahangirabad Surat,2,1100.0,2,1,1,3900000.0
0,5750.0,2.0,Dindoli Surat,2,800.0,2,1,0,4600000.0
0,800.0,1.0,Kim Surat,2,750.0,2,1,1,600000.0
12,4251.0,2.0,Palanpur Surat,2,1035.0,2,1,0,4400000.0
154,2787.0,2.0,Rustampura Surat,1,945.0,2,1,0,3400000.0
0,2667.0,1.0,Sayan Surat,2,600.0,0,1,0,1600000.0
173,2160.0,3.0,Navagam Surat,1,1200.0,2,1,0,2700000.0
54,2917.0,2.0,Adajan Surat,2,1200.0,2,1,0,3500000.0
83,3030.0,1.0,Amroli Surat,2,660.0,2,1,0,2000000.0
54,2436.0,2.0,Amroli Surat,1,580.0,2,1,0,1900000.0
-1,2704.0,2.0,Pavitra residency Surat,2,1165.0,0,1,0,3150000.0
0,1000.0,1.0,Bhestan Surat,2,850.0,2,1,0,850000.0
