areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price
1,644.0,23,Poss. by Oct '24,5 out of 10,Unfurnished,West,2891.0,3379999.9999999995
4,1278.0,23,Poss. by Jan '26,6 out of 14,Unfurnished,South -West,3551.0,4540000.0
4,1173.0,30,Ready to Move,5 out of 13,Semi-Furnished,East,3800.0,4460000.0
1,700.0,23,Ready to Move,6 out of 14,Unfurnished,East,3966.0,4700000.0
4,1250.0,25,New Property,Unfurnished,2,2,3600.0,4500000.0
4,1265.0,35,Poss. by Dec '25,New Property,Anand Aspire,2,3411.0,4320000.0
1,1404.0,35,Poss. by Jun '24,New Property,East,Main Road,,4210000.0
1,700.0,23,Poss. by Sep '25,7 out of 10,1,,3392.0,4410000.0
4,1180.0,26,New Property,Unfurnished,2,2,3751.0,4430000.0
1,720.0,23,Poss. by Dec '25,3 out of 14,Unfurnished,East,3200.0,4000000.0
1,748.0,23,Poss. by Dec '25,6 out of 13,Unfurnished,East,3235.0,4400000.0
1,480.0,30,Ready to Move,1 out of 1,Unfurnished,East,2315.0,1250000.0
1,1650.0,30,Ready to Move,7 out of 10,Unfurnished,East,3125.0,5000000.0
4,847.0,30,Ready to Move,1 out of 13,Furnished,East,5903.0,5000000.0
4,1511.0,23,Poss. by Feb '26,5 out of 13,Unfurnished,North - East,2368.0,3579999.9999999995
1,850.0,30,Ready to Move,4 out of 7,Furnished,South - East,,4500000.0
1,180.0,30,Ready to Move,3 out of 3,,,14728.0,2650000.0
4,800.0,30,Ready to Move,2 out of 6,1,,5250.0,4200000.0
1,1000.0,23,Ready to Move,3 out of 5,Furnished,East,3185.0,4300000.0
1,731.0,30,Ready to Move,2 out of 5,Unfurnished,East,2736.0,2000000.0
1,816.0,30,Ready to Move,3 out of 12,1,,4534.0,3700000.0
1,950.0,30,Ready to Move,5 out of 5,Unfurnished,West,2829.0,2900000.0
4,1150.0,35,1 out of 7,Resale,1,1,3304.0,3800000.0
1,432.0,23,Ready to Move,Ground out of 1,Unfurnished,West,3009.0,1300000.0
1,350.0,30,Ready to Move,Lower Basement out of 7,,,12857.0,4500000.0
1,910.0,30,Ready to Move,1 out of 5,Unfurnished,East,2857.0,4000000.0
1,650.0,35,Ready to Move,New Property,East,Main Road,4150.0,4650000.0
4,1250.0,23,Ready to Move,7 out of 14,Unfurnished,South -West,3325.0,4160000.0
1,1480.0,35,Poss. by Jul '24,New Property,East,Freehold,2264.0,3350000.0
4,1105.0,30,Ready to Move,9 out of 14,Unfurnished,South -West,3842.0,4250000.0
4,1305.0,23,Poss. by Dec '26,5 out of 12,Unfurnished,East,3678.0,4800000.0
4,1290.0,30,Ready to Move,5 out of 13,Furnished,East,3488.0,4500000.0
4,975.0,23,Poss. by Apr '25,6 out of 13,Unfurnished,South - East,3282.0,3200000.0
4,1250.0,23,Ready to Move,7 out of 14,Unfurnished,East,2800.0,3500000.0
1,725.0,23,Poss. by Jan '25,7 out of 14,Unfurnished,South -West,3500.0,4620000.0
4,1558.0,30,Ready to Move,1 out of 5,Unfurnished,North - East,3017.0,4700000.0
1,727.0,23,Ready to Move,7 out of 13,Unfurnished,East,3075.0,3850000.0
2,120.0,14,Freehold,Resale,2,Garden/Park,35000.0,4200000.0
1,425.0,30,Ready to Move,1 out of 2,,,4706.0,2000000.0
1,396.0,30,Ready to Move,2 out of 10,3,,5808.0,2300000.0
2,1055.0,30,21 X 50.2,Freehold,2,1,2275.0,2400000.0
4,735.0,30,Ready to Move,12 out of 14,Unfurnished,Main Road,3810.0,2800000.0
4,1326.0,30,Ready to Move,9 out of 14,Unfurnished,East,3771.0,5000000.0
4,510.0,23,Poss. by Dec '25,3 out of 12,"1 Covered,",1,7000.0,3570000.0000000005
4,1178.0,30,Ready to Move,10 out of 14,Unfurnished,East,3099.0,3650000.0
4,1900.0,30,Ready to Move,7 out of 14,Unfurnished,South -West,2632.0,5000000.0
1,861.112,30,Ready to Move,2 out of 12,Unfurnished,East,,3600000.0
4,1600.0,30,Ready to Move,3 out of 12,Unfurnished,3,2724.0,4360000.0
4,445.0,30,Ready to Move,1 out of 4,2 Covered,,5618.0,2500000.0
1,680.0,23,Poss. by Jan '26,6 out of 14,Unfurnished,East,3747.0,4650000.0
1,721.0,30,Ready to Move,3 out of 5,Semi-Furnished,East,2936.0,3200000.0
1,400.0,30,Ready to Move,2 out of 5,1 Covered,1,5578.0,4100000.0
1,545.0,30,Poss. by Dec '24,13 out of 14,Unfurnished,East,3451.0,3350000.0
4,813.0,23,Poss. by Aug '25,4 out of 14,Unfurnished,East,3507.0,2850000.0
4,990.0,23,Poss. by Jul '24,5 out of 13,Unfurnished,East,2828.0,2800000.0
1,500.0,30,Ready to Move,5 out of 12,Furnished,East,3636.0,2800000.0
1,452.0838,30,Ready to Move,Ground out of 1,Unfurnished,East,1951.0,900000.0
4,970.0,30,Ready to Move,6 out of 10,Semi-Furnished,East,3093.0,3000000.0
4,1180.0,30,Ready to Move,5 out of 5,Unfurnished,2,2712.0,3200000.0
1,750.0,30,Ready to Move,3 out of 5,Unfurnished,East,3304.0,3800000.0
1,1100.0,30,Ready to Move,2 out of 5,Furnished,East,,4000000.0
4,1000.0,30,Ready to Move,2 out of 4,Furnished,East,3951.0,3950000.0
4,813.0,23,Poss. by Feb '25,7 out of 14,Unfurnished,East,3567.0,2900000.0
4,550.0,30,Ready to Move,5 out of 5,Unfurnished,East,3636.0,2000000.0
4,800.0,30,Ready to Move,1 out of 4,Furnished,1,3750.0,3000000.0
4,280.0,30,Ready to Move,1 out of 4,,,12857.0,3600000.0
1,450.0,30,Ready to Move,1 out of 5,Unfurnished,1,3909.0,2150000.0
4,1250.0,30,Ready to Move,2 out of 4,Furnished,2,3600.0,4500000.0
4,800.0,30,Ready to Move,3 out of 4,Unfurnished,2,1312.0,1050000.0
4,1267.0,30,Ready to Move,2 out of 4,Furnished,North - West,3946.0,5000000.0
4,1200.0,15,3 out of 10,Resale,Freehold,2,3333.0,4000000.0
1,600.0,35,Ready to Move,Resale,East,Main Road,3000.0,1800000.0
1,750.0,30,Ready to Move,7 out of 10,Unfurnished,2,4111.0,3700000.0
1,432.0,23,Ready to Move,Ground out of 1,Unfurnished,East,2315.0,1000000.0
4,1600.0,30,Ready to Move,9 out of 13,Unfurnished,3,1875.0,3000000.0
1,450.0,30,Ready to Move,5 out of 5,Unfurnished,1,,1800000.0
1,441.0,30,Ready to Move,3 out of 5,Unfurnished,South,3509.0,2350000.0
4,850.0,30,Ready to Move,3 out of 4,Semi-Furnished,Main Road,2941.0,2500000.0
4,753.473,30,Ready to Move,Upper Basement out of 5,1,,3320.0,2500000.0
1,1230.0,30,Ready to Move,9 out of 13,Semi-Furnished,East,,3000000.0
1,460.0,30,Ready to Move,3 out of 10,1,,6803.0,4000000.0
4,393.0,30,Ready to Move,1 out of 3,1,,5089.0,2000000.0
1,783.0,30,Ready to Move,5 out of 5,Unfurnished,North - East,,5000000.0
1,605.0,30,Ready to Move,2 out of 5,Unfurnished,East,2686.0,1630000.0
4,1300.0,30,Ready to Move,4 out of 4,Furnished,2,3462.0,4500000.0
1,1300.0,30,Ready to Move,Ground out of 2,Furnished,6,,4500000.0
4,100.0,30,Ready to Move,Lower Basement out of 2,,,20000.0,2000000.0
1,150.0,30,Ready to Move,Ground out of 1,,,9000.0,1350000.0
1,430.0,30,Ready to Move,Ground out of 4,,,10465.0,4500000.0
4,1370.0,30,Ready to Move,3 out of 4,Unfurnished,2,3212.0,4400000.0
2,1040.0,38,Resale,,,,4712.0,4900000.0
1,145.0,30,Ready to Move,Ground out of 5,,,7500.0,2100000.0
1,527.0,35,Ready to Move,Resale,West,Garden/Park,3035.0,2000000.0
4,1193.0,30,Ready to Move,4 out of 10,Semi-Furnished,East,3269.0,3900000.0
1,1000.0,30,Ready to Move,3 out of 5,Furnished,Co-operative Society,3077.0,4000000.0
4,1000.0,30,Ready to Move,Ground out of 1,Unfurnished,2,1600.0,1600000.0
4,1100.0,30,Ready to Move,Ground out of 2,Unfurnished,3,2455.0,2700000.0
1,222.0,30,Ready to Move,Ground out of 14,,,10162.0,4400000.0
4,756.0,30,Ready to Move,5 out of 5,Unfurnished,1,1984.0,1500000.0
1,1446.0,30,Ready to Move,4 out of 4,Semi-Furnished,North - East,4006.0,3990000.0
1,950.0,30,Ready to Move,2 out of 4,Semi-Furnished,North - East,3043.0,3500000.0
1,180.0,30,Ready to Move,Ground out of 6,26 Covered,,12500.0,4500000.0
1,750.0,30,Ready to Move,5 out of 6,Semi-Furnished,East,3333.0,3500000.0
4,1025.0,30,Ready to Move,5 out of 6,Furnished,2,4683.0,4800000.0
4,1100.0,30,Ready to Move,3 out of 5,Unfurnished,East,3455.0,3800000.0
4,150.0,30,Ready to Move,1 out of 4,,,5000.0,750000.0
1,1200.0,30,Ready to Move,8 out of 9,Unfurnished,2,,3000000.0
1,734.0,30,Ready to Move,2 out of 5,Furnished,East,2749.0,2850000.0
1,440.0,30,Ready to Move,4 out of 5,Semi-Furnished,1,3420.0,2500000.0
4,750.0,30,Ready to Move,2 out of 7,Semi-Furnished,1,3200.0,2400000.0
4,550.0,30,Ready to Move,4 out of 4,Semi-Furnished,North - East,2318.0,1280000.0
1,110.0,30,Ready to Move,1 out of 1,1,,7315.0,950000.0
1,800.0,30,Ready to Move,1 out of 4,Semi-Furnished,East,2500.0,2500000.0
4,722.0,30,Ready to Move,7 out of 7,Unfurnished,1,2909.0,2100000.0
